area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,TOTAL 2001-2017
Mexico_Chihuahua_Coyame del Sotol,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,4
Mexico_Chihuahua_Cuauhtémoc,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,7
Mexico_Chihuahua_Cusihuiriachic,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
Mexico_Chihuahua_Delicias,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mexico_Chihuahua_Dr. Belisario Domínguez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mexico_Chihuahua_El Tule,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Mexico_Chihuahua_Galeana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico_Chihuahua_General Trias,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Mexico_Chihuahua_Gran Morelos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mexico_Chihuahua_Guachochic,12,35,17,58,25,50,53,46,57,33,143,432,45,23,1,55,18,"1,105"
Mexico_Chihuahua_Guadalupe,0,19,0,4,0,2,0,2,1,6,2,7,1,0,0,0,0,44
Mexico_Chihuahua_Guadalupe y Calvo,31,88,19,48,138,189,88,188,115,128,480,245,356,139,110,422,353,"3,136"
Mexico_Chihuahua_Guazapares,14,21,8,264,27,89,55,41,27,33,105,"1,070",140,54,16,18,32,"2,014"
Mexico_Chihuahua_Guerrero,3,21,2,3,9,10,2,13,29,4,91,9,73,14,0,0,11,293
Mexico_Chihuahua_Hidalgo del Parral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mexico_Chihuahua_Huejotitán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico_Chihuahua_Ignacio Zaragoza,1,4,65,2,4,44,0,1,0,1,3,0,2,0,0,0,0,127
Mexico_Chihuahua_Janos,0,2,0,2,0,1,0,1,0,0,1,8,5,3,0,0,0,23
Mexico_Chihuahua_Jiménez,13,21,26,9,2,123,1,6,7,6,1,2,0,0,0,0,0,217
Mexico_Chihuahua_Julimes,0,1,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,6
Mexico_Chihuahua_Juárez,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2
Mexico_Chihuahua_La Cruz,2,1,2,5,0,3,0,5,2,1,0,0,0,0,0,0,0,21
Mexico_Chihuahua_López,2,4,2,1,3,4,1,3,0,3,0,1,0,0,0,0,0,24
Mexico_Chihuahua_Madera,19,237,2,22,16,21,18,22,13,6,66,65,110,61,5,100,212,995
Mexico_Chihuahua_Maguarichic,0,4,5,63,1,24,22,21,17,12,101,145,28,11,6,7,16,484
Mexico_Chihuahua_Manuel Benavides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico_Chihuahua_Matachic,0,3,2,32,50,1,0,2,1,0,7,0,0,0,0,0,0,98
